timestamp,device,action,src_ip,src_zone,dest_ip,dest_zone,dest_port,protocol,rule_id,bytes,message
2026-08-16 10:09:39,STREAMNET-FW01,ALLOW,10.0.10.46,employee,10.0.20.10,server,443,TCP,101,30255,Approved HTTPS traffic
2026-08-16 10:10:39,STREAMNET-FW01,ALLOW,10.0.10.44,employee,10.0.20.10,server,443,TCP,101,45296,Approved HTTPS traffic
2026-08-16 10:14:39,STREAMNET-FW01,ALLOW,10.0.10.47,employee,10.0.20.10,server,443,TCP,101,8775,Approved HTTPS traffic
2026-08-16 10:14:39,STREAMNET-FW01,ALLOW,10.0.10.34,employee,10.0.20.53,server,53,UDP,102,16150,Approved DNS traffic
2026-08-16 10:15:39,STREAMNET-FW01,ALLOW,10.0.10.64,employee,10.0.20.10,server,443,TCP,101,48374,Approved HTTPS traffic
2026-08-16 10:15:39,STREAMNET-FW01,ALLOW,10.0.10.34,employee,10.0.20.10,server,443,TCP,101,25664,Approved HTTPS traffic
2026-08-16 10:15:39,STREAMNET-FW01,DENY,198.51.100.200,internet,10.0.20.10,server,22,TCP,201,35902,External SSH attempt blocked
2026-08-16 10:18:39,STREAMNET-FW01,ALLOW,10.0.10.62,employee,10.0.20.10,server,443,TCP,101,32971,Approved HTTPS traffic
2026-08-16 10:20:39,STREAMNET-FW01,ALLOW,10.0.10.61,employee,10.0.20.10,server,443,TCP,101,16445,Approved HTTPS traffic
2026-08-16 10:21:39,STREAMNET-FW01,ALLOW,10.0.10.40,employee,10.0.20.10,server,443,TCP,101,31701,Approved HTTPS traffic
2026-08-16 10:22:39,STREAMNET-FW01,ALLOW,10.0.10.78,employee,10.0.20.10,server,443,TCP,101,12633,Approved HTTPS traffic
2026-08-16 10:22:39,STREAMNET-FW01,DENY,198.51.100.18,internet,10.0.20.10,server,22,TCP,201,24783,External SSH attempt blocked
2026-08-16 10:23:39,STREAMNET-FW01,ALLOW,10.0.10.67,employee,10.0.20.10,server,443,TCP,101,39416,Approved HTTPS traffic
2026-08-16 10:23:39,STREAMNET-FW01,ALLOW,10.0.10.69,employee,10.0.20.10,server,443,TCP,101,20428,Approved HTTPS traffic
2026-08-16 10:25:39,STREAMNET-FW01,ALLOW,10.0.10.78,employee,10.0.20.10,server,443,TCP,101,47648,Approved HTTPS traffic
2026-08-16 10:25:39,STREAMNET-FW01,ALLOW,10.0.10.19,employee,10.0.20.10,server,443,TCP,101,15797,Approved HTTPS traffic
2026-08-16 10:27:39,STREAMNET-FW01,ALLOW,10.0.10.38,employee,10.0.20.10,server,443,TCP,101,21752,Approved HTTPS traffic
2026-08-16 10:28:39,STREAMNET-FW01,ALLOW,10.0.10.48,employee,10.0.20.10,server,443,TCP,101,39848,Approved HTTPS traffic
2026-08-16 10:30:39,STREAMNET-FW01,ALLOW,10.0.10.24,employee,10.0.20.10,server,443,TCP,101,35690,Approved HTTPS traffic
2026-08-16 10:32:39,STREAMNET-FW01,ALLOW,10.0.10.30,employee,10.0.20.10,server,443,TCP,101,28166,Approved HTTPS traffic
2026-08-16 10:33:39,STREAMNET-FW01,ALLOW,10.0.10.61,employee,10.0.20.10,server,443,TCP,101,35641,Approved HTTPS traffic
2026-08-16 10:35:39,STREAMNET-FW01,ALLOW,10.0.10.58,employee,10.0.20.10,server,443,TCP,101,49529,Approved HTTPS traffic
2026-08-16 10:36:39,STREAMNET-FW01,ALLOW,10.0.10.38,employee,10.0.20.53,server,53,UDP,102,47962,Approved DNS traffic
2026-08-16 10:37:39,STREAMNET-FW01,ALLOW,10.0.10.18,employee,10.0.20.10,server,443,TCP,101,15914,Approved HTTPS traffic
2026-08-16 10:37:39,STREAMNET-FW01,ALLOW,10.0.10.66,employee,10.0.20.10,server,443,TCP,101,14505,Approved HTTPS traffic
2026-08-16 10:38:39,STREAMNET-FW01,ALLOW,10.0.10.39,employee,10.0.20.10,server,443,TCP,101,38196,Approved HTTPS traffic
2026-08-16 10:38:39,STREAMNET-FW01,ALLOW,10.0.10.52,employee,10.0.20.53,server,53,UDP,102,35471,Approved DNS traffic
2026-08-16 10:40:39,STREAMNET-FW01,ALLOW,10.0.10.40,employee,10.0.20.10,server,443,TCP,101,20843,Approved HTTPS traffic
2026-08-16 10:40:39,STREAMNET-FW01,ALLOW,10.0.10.12,employee,10.0.20.10,server,443,TCP,101,18162,Approved HTTPS traffic
2026-08-16 10:42:39,STREAMNET-FW01,ALLOW,10.0.10.50,admin,10.0.20.10,server,22,TCP,103,8510,Approved administrator SSH
2026-08-16 10:43:39,STREAMNET-FW01,ALLOW,10.0.10.36,employee,10.0.20.10,server,443,TCP,101,47436,Approved HTTPS traffic
2026-08-16 10:43:39,STREAMNET-FW01,ALLOW,10.0.10.70,employee,10.0.20.10,server,443,TCP,101,7996,Approved HTTPS traffic
2026-08-16 10:46:39,STREAMNET-FW01,ALLOW,10.0.10.41,employee,10.0.20.10,server,443,TCP,101,7236,Approved HTTPS traffic
2026-08-16 10:47:39,STREAMNET-FW01,ALLOW,10.0.10.50,admin,10.0.20.10,server,22,TCP,103,49670,Approved administrator SSH
2026-08-16 10:48:39,STREAMNET-FW01,ALLOW,10.0.10.18,employee,10.0.20.10,server,443,TCP,101,22139,Approved HTTPS traffic
2026-08-16 10:49:39,STREAMNET-FW01,ALLOW,10.0.10.50,employee,10.0.20.10,server,443,TCP,101,8667,Approved HTTPS traffic
2026-08-16 10:49:39,STREAMNET-FW01,ALLOW,10.0.10.49,employee,10.0.20.10,server,443,TCP,101,38612,Approved HTTPS traffic
2026-08-16 10:50:39,STREAMNET-FW01,ALLOW,10.0.10.46,employee,10.0.20.10,server,443,TCP,101,26744,Approved HTTPS traffic
2026-08-16 10:54:39,STREAMNET-FW01,ALLOW,10.0.10.22,employee,10.0.20.10,server,443,TCP,101,28749,Approved HTTPS traffic
2026-08-16 10:54:39,STREAMNET-FW01,ALLOW,10.0.10.31,employee,10.0.20.10,server,443,TCP,101,6057,Approved HTTPS traffic
2026-08-16 10:54:39,STREAMNET-FW01,DENY,198.51.100.21,internet,10.0.20.10,server,22,TCP,201,34673,External SSH attempt blocked
2026-08-16 10:55:39,STREAMNET-FW01,ALLOW,10.0.10.63,employee,10.0.20.10,server,443,TCP,101,38751,Approved HTTPS traffic
2026-08-16 10:56:39,STREAMNET-FW01,ALLOW,10.0.10.50,admin,10.0.20.10,server,22,TCP,103,32100,Approved administrator SSH
2026-08-16 10:57:39,STREAMNET-FW01,ALLOW,10.0.10.28,employee,10.0.20.10,server,443,TCP,101,45564,Approved HTTPS traffic
2026-08-16 10:58:39,STREAMNET-FW01,ALLOW,203.0.113.39,internet,10.0.20.10,server,22,TCP,999,43158,External SSH allowed by temporary rule
2026-08-16 11:01:39,STREAMNET-FW01,ALLOW,10.0.10.76,employee,10.0.20.10,server,443,TCP,101,29481,Approved HTTPS traffic
2026-08-16 11:02:39,STREAMNET-FW01,ALLOW,10.0.10.76,employee,10.0.20.10,server,443,TCP,101,18200,Approved HTTPS traffic
2026-08-16 11:03:39,STREAMNET-FW01,ALLOW,10.0.10.35,employee,10.0.20.10,server,443,TCP,101,46462,Approved HTTPS traffic
2026-08-16 11:03:39,STREAMNET-FW01,ALLOW,10.0.10.38,employee,10.0.20.10,server,443,TCP,101,4996,Approved HTTPS traffic
2026-08-16 11:03:39,STREAMNET-FW01,ALLOW,10.0.10.60,employee,10.0.20.53,server,53,UDP,102,5763,Approved DNS traffic
2026-08-16 11:04:39,STREAMNET-FW01,ALLOW,10.0.10.48,employee,10.0.20.53,server,53,UDP,102,27258,Approved DNS traffic
